country,percent
AGO,0
QAT,0
BGD,0
BGR,0
PAK,0
PAN,0
VNM,0
KOR,0.023265092
PRK,0.023265092
BWA,0
TZA,0
KNA,0
GIB,0
DJI,0
GIN,0
FIN,0.40108767
THA,0
SYC,0
NPL,0
MAR,0
YEM,0
PHL,0
ZAF,0
KIR,0
MNE,0
VIR,0
BEN,0
GUF,0
BEL,0.00100674
GUM,0
GBR,0.087355319
GUY,0
CRI,0
CMR,0
LSO,0
HUN,0
BLZ,0
TTO,0
TCD,0
GEO,0
MHL,0
DOM,0
BLR,0
GRD,0
GRL,0
AND,0
MOZ,0
MKD,0
VCT,0
TJK,0
MEX,0
LCA,0
IND,0
NOR,0.707299448
FJI,0
HND,0
SMR,0
PER,0
VUT,0
COG,0
ETH,0
COM,0
COL,0
GGY,0
MDG,0
ANT,0
MDV,0
SRB,0
LTU,0
RWA,0
ZMB,0
POL,0
JEY,0
MDA,0
AUS,0.585094712
AUT,0.130369377
PLW,0
ALB,0
MMR,0
GNQ,0
WSM,0
UKR,0
GNB,0
TON,0
CAN,0.360999701
ERI,0
GRC,0
SOM,0
GAB,0
IRQ,0
IRL,0
ABW,0
SYR,0
NZL,0
NCL,0
ARE,0
ARG,0
SDN,0
SSD,0
BHR,0
ARM,0
PNG,0
LIE,0
EGY,0
NAM,0
SVK,0
GHA,0
BOL,0
FSM,0
JOR,0
LBR,0
LBY,0
MYS,0
PRI,0
CPV,0
PRT,0
KHM,0
PRY,0
SAU,0
LBN,0
SVN,0
BFA,0
CHE,0.595714223
MRT,0
HRV,0
CHL,0
CHN,0
JAM,0
URY,0
NIC,0
KAZ,0
PYF,0
NGA,0
PSE,0
COD,0
DEU,0.125892223
LKA,0
MWI,0
CIV,0
UGA,0
TKM,0
NLD,0.334386942
BMU,0
ROU,0
MNG,0
MAC,0
AFG,0
BDI,0
LVA,0
RUS,0
HTI,0
STP,0
BTN,0
CZE,0
ATG,0
MUS,0
DMA,0
LUX,0
ISR,0.110773866
IDN,0
SUR,0
ISL,0
NER,0
ECU,0
HKG,0
SEN,0
TLS,0
FRA,0.052777862
GMB,0
FRO,0
GTM,0
DNK,0.097277268
ZWE,0
CUB,0
KEN,0
TUR,0
OMN,0
TUV,0
ITA,0.017544562
BRN,0
TUN,0
BRB,0
BRA,0
USA,0.784728502
SWE,0.584192066
AZE,0
LAO,0
SWZ,0
VEN,0
CYP,0
BIH,0
CAF,0
SGP,0
IRN,0
UZB,0
KWT,0
TGO,0
CYM,0
EST,0
ESP,0.012873564
SLV,0
MLI,0
MLT,0
SLE,0
BHS,0
SLB,0
JPN,0.020293683
KGZ,0
DZA,0
NRU,0
